sku,barcode,has_variants,name_ar,name_en,description_ar,description_en,short_description_ar,short_description_en,product_page_title_ar,product_page_title_en,product_page_description_ar,product_page_description_en,product_page_url,quantity,categories_ar,categories_en,categories_description_ar,categories_description_en,categories_images,keywords,weight,weight_unit,published,option1_name_ar,option1_name_en,option1_value_ar,option1_value_en,option2_name_ar,option2_name_en,option2_value_ar,option2_value_en,option3_name_ar,option3_name_en,option3_value_ar,option3_value_en,price,sale_price,cost,images,images_alt_text_ar,images_alt_text_en,has_dropdown,is_dropdown_required,dropdown_name_ar,dropdown_name_en,dropdown_choice1_ar,dropdown_choice1_en,dropdown_choice1_price,dropdown_choice2_ar,dropdown_choice2_en,dropdown_choice2_price,has_multiple_options,is_multiple_options_required,multiple_options_name_ar,multiple_options_name_en,has_text_input,is_text_input_required,text_input_name_ar,text_input_name_en,text_input_price,has_numerical_input,is_numerical_input_required,numerical_input_name_ar,numerical_input_name_en,numerical_input_price,has_date,is_date_required,date_name_ar,date_name_en,has_time,is_time_required,time_name_ar,time_name_en,has_image_upload,is_image_upload_required,image_upload_name_ar,image_upload_name_en,has_file_upload,is_file_upload_required,file_upload_name_ar,file_upload_name_en
Z.17862950145389578,,No,حلق الماس مميز بالزفير الازرق,Blue sapphire earrings,,,,,,,,,حلق-الماس-مميز-بالزفير-الازرق,0,,,,,,,,kg,No,,,,,,,,,,,,,5799,,3944,"https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/17b1976a-8a29-4dba-827b-60009de97789.jpeg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/fa5cd611-52b6-4e9a-a086-0dbdd33b841f.jpeg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/e1befb5c-f2f2-483b-97f2-971b4c2ee77b.jpeg","None, None, None","None, None, None",TRUE,FALSE,نوع المعدن,Metal trype,ذهب,Gold,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z.17859012925240428,,No,سلسال الماس القلب,Heart diamond necklace,,,,,,,,,سلسال-الماس-القلب,0,[العقود],[Diamond Necklace],[],[],[https://media.zid.store.s3.eu-west-1.amazonaws.com/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/cfa44b22-e416-406f-9e28-4327d61dd518.jpg],,0.1,g,Yes,,,,,,,,,,,,,2320,,1900,"https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/b5a11c5b-383f-4913-a00e-75857a034abf.png, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/1146912c-2444-4327-b3b5-d67fbdaeaf47.png, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/a1a5ae36-2b7c-4792-8dce-d5b88543703f.jpeg","None, None, None","None, None, None",TRUE,FALSE,نوع المعدن,Metal type,ذهب,Gold,1100,فضة,Silver,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z.17855159231215491,,No,اسوارة تنس ,اسوارة تنس ,<p>صف متواصل من الألماس المستدير يحيط بالمعصم كخط ضوء لا ينقطع، متوفرة بالذهب عيار 18 أو الفضة عيار 925. فخامة كلاسيكية خالدة تُلبس يوميًا أو تُهدى في المناسبات، لتبقى رفيقة أنيقة على مدى الزمن.</p>,"<p>An unbroken line of round diamonds encircling the wrist like a continuous ribbon of light, available in 18K gold or 925 silver. Timeless classic luxury , worn daily or gifted for special occasions, an elegant companion through every moment.</p>","<ul><li>لمعدن: ذهب عيار 18 / فضة عيار 925</li><li>العرض: 3 ملم</li><li>وزن المعدن (تقريبي): 15 جم</li><li>وزن الألماس الكلي (تقريبي): 10.6 قيراط</li><li>شكل الألماسة: دائري</li><li>النقاء والصفاوة: DEF - VS, VVS</li></ul>","<ul><li>Metal: 18K Gold / 925 Silver</li><li>Width: 3 mm</li><li>Metal Weight (approx.): 15 g</li><li>Total Diamond Weight (approx.): 10.6 ct</li><li>Diamond Shape: Round</li><li>Clarity &amp; Color: DEF - VS, VVS</li></ul>",أسورة الألماس التنس - LOMOND,Diamond Tennis Bracelet - LOMOND,"أسورة تنس ألماس دائري بذهب 18 أو فضة 925، نقاء DEF-VS,VVS، فخامة كلاسيكية تُلبس يوميًا أو تُهدى بأناقة.","Round diamond tennis bracelet in 18K gold or 925 silver, DEF-VS,VVS clarity. Timeless luxury for daily wear or gifting.",اسوارة-تنس,Infinite,[الأساور],[Diamond Bracelet],[],[],[https://media.zid.store.s3.eu-west-1.amazonaws.com/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/8976e4dd-18e4-494f-865a-3f0aff4af33d.jpg],,,kg,Yes,,,,,,,,,,,,,3600,,3100,"https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/3f018e59-9235-4204-865b-dd02fc0f763e.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/0ba51e05-eb4b-4b40-8242-ad715369f1e4.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/611d239e-f600-43b8-af8a-b0fe56d4f207.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/fd5295d6-b4a0-4392-a3ec-31bf0c56b5c4.jpg","None, None, None, None","None, None, None, None",TRUE,TRUE,نوع المعدن,Metal Type,ذهب عيار ١٨,18K Gold,10000,فضة,Silver,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z.17850263724745646,,No,أقراط الألماس الكلاسيكية,Classic Diamond Stud Earrings,<p>ألماسة دائرية واحدة، مصقولة بدقة لتعكس الضوء من كل جانب، تستقر بثبات أنيق على شحمة الأذن. القطعة الأساسية التي لا يخلو منها صندوق مجوهرات، خالدة في كل زمان.</p>,"<p>A single round brilliant diamond, precision-cut to reflect light from every facet, sitting elegantly on the earlobe. The essential piece every jewelry box deserves. timeless in every era.</p>","<ul><li>وزن الألماسة (لكل قطعة): 1 قيراط</li><li>النقاء: VVS,VS</li><li>اللون: DEF</li><li>القص: Round Brilliant</li><li>عيار المعدن: ذهب عيار ١٨ او فضة ٩٢٥</li></ul>","<ul><li>Diamond Weight (each): 1 ct</li><li>Clarity: VVS,VS</li><li>Color Grade: DEF</li><li>Cut: Round Brilliant</li><li>Metal Purity: 18 K Gold or 925 Silver</li></ul>",أقراط الألماس الكلاسيكية,Classic Diamond Stud Earrings - LOMOND,ألماسة دائرية واحدة مصقولة بدقة تعكس الضوء من كل جانب، القطعة الأساسية الخالدة في كل صندوق مجوهرات.,A single round brilliant diamond reflecting light from every facet. The timeless essential every jewelry box needs.,أقراط-الألماس-الكلاسيكية,Infinite,[الأقراط],[Diamond Earrings],[],[],[https://media.zid.store.s3.eu-west-1.amazonaws.com/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/8ade5594-6905-4895-9469-fbb66b2e0d17.jpg],,0.002,kg,Yes,,,,,,,,,,,,,2280,,1500,"https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/d5514f61-4ce2-462d-a691-240ab145751a.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/723b00a0-e9a8-42ec-9e46-955fbf581792.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/3f97fcc6-277f-4080-bd0c-93237ab3bb1b.jpg","None, None, None","None, None, None",TRUE,TRUE,نوع المعدن ,Metal type,ذهب عيار ١٨,18K Gold,820,فضة,Silver,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z.17850255514852037,,No,أسورة ألماس ناعمة,Diamond Simple Bracelet ,<p>سلسلة ذهبية رقيقة تتوزع عليها محطات من الألماس على هيئة برعم صغير، تتراقص بخفة مع كل حركة يد. أسورة بسيطة الطابع، عميقة المعنى، تُلبس كل يوم وتبقى في الذاكرة.</p>,"<p>A fine gold chain adorned with delicate clover-shaped diamond clusters, dancing gently with every movement of the hand. Understated in design, meaningful in presence. a bracelet made for everyday wear and lasting memory.</p>",<ul><li>عدد الوردات : 4 </li><li>عيار الذهب: 18 عيار</li><li>طول الأسورة: 17 سم</li></ul>,<ul><li>Number of Stations: 4</li><li>Gold Purity: 18 K</li><li>Bracelet Length: 17 cm</li></ul>,اسوارة ألماس ناعمة,Diamond Clover Station Bracelet - LOMOND,سلسلة ذهبية رقيقة تتوزع عليها محطات ألماس صغيرة بشكل برعم، بسيطة الطابع وتُلبس يوميًا بأناقة.,A fine gold chain with delicate clover-shaped diamond stations. Understated design for everyday elegance.,أسورة-ألماس-ناعمة,Infinite,[الأساور],[Diamond Bracelet],[],[],[https://media.zid.store.s3.eu-west-1.amazonaws.com/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/8976e4dd-18e4-494f-865a-3f0aff4af33d.jpg],,1,g,Yes,,,,,,,,,,,,,3990,,3471,"https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/113c9e18-9f52-4a90-9785-bc26b471fe24.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/3448c820-38f7-4042-8be7-b1a4d956382f.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/ce16aaa5-4a91-409e-b8e4-6e25ae992de2.jpg","None, None, None","None, None, None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z.17850245085313442,,No,عقد ألماس بيضاوي ,Oval Pendant Necklace,<p>حجر بيضاوي شفاف يتدلى من سلسلة ذهب ناعمة، قطعة يومية فاخرة تضيف بريقًا هادئًا لإطلالتك.</p>,"<p>A translucent oval stone on a delicate gold chain. Everyday luxury with a quiet, radiant sparkle.</p>",<ul><li>وزن الحجر المركزي: 2 قيراط</li><li>المعدن: ذهب عيار 18 او فضة 925</li><li>النقاء والصفاوة: D VS</li><li>طول السلسلة: 17 سم</li></ul>,<ul><li>Center Stone Weight: 2 ct</li><li>Metal Type: Gold 18K or Silver 925</li><li>Color and Purity: D VS</li><li>Chain Length: 17cm</li></ul>,عقد الألماس بحجر بيضاوي,Oval Pendant Necklace - LOMOND,حجر بيضاوي شفاف يتدلى من سلسلة ذهب ناعمة، قطعة يومية فاخرة تضيف بريقًا هادئًا لإطلالتك.,"A translucent oval stone on a delicate gold chain. Everyday luxury with a quiet, radiant sparkle.",عقد-ألماس-بيضاوي,Infinite,[العقود],[Diamond Necklace],[],[],[https://media.zid.store.s3.eu-west-1.amazonaws.com/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/cfa44b22-e416-406f-9e28-4327d61dd518.jpg],,3,g,Yes,,,,,,,,,,,,,2320,,1350,"https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/9a14b87d-8ed6-4b88-b8f2-ed333b61426e.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/1346d3d1-fc00-4394-8a3a-9a2916c7e4e3.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/5ac65c36-2fdd-4a98-a146-9b1c5933c8cd.jpg","None, None, None","None, None, None",TRUE,FALSE,نوع المعدن,Metal Type,ذهب,Gold,1100,فضة,Silver,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z.17850237537502007,,No,قرط الألماس المميز,Diamond Ear Climber,<p>خط متعرج من الألماس يعانق حافة الأذن بانسيابية، كأنه رسمة ضوء ذائبة. تصميم عصري يناسب الإطلالات الجريئة دون أن يفقد لمسة الأنوثة الراقية.</p>,"<p>A flowing diamond line that traces the curve of the ear like a brushstroke of light. Modern and bold, yet never losing its feminine grace. perfect for statement-making elegance</p>","<ul><li>طول الحلق: 15 ملم</li><li>نوع المعدن: ذهب عيار 18 او فضة 925</li><li>النقاء والصفاوة: DEF VVS,VS</li><li>وزن الذهب التقريبي: 2.3 جرام</li></ul>","<ul><li>Earring Length: 15 mm</li><li>Metal Type: Gold 18K or Silver 925</li><li>Color and Purity: DEF VVS,VS</li><li>Gold Weight:~ 2.3 grams</li></ul>",قرط الألماس المميز,Diamond Ear Climber,خط متعرج من الألماس يعانق حافة الأذن بانسيابية، تصميم عصري وجريء بلمسة أنوثة راقية.,"A flowing diamond line tracing the ear's curve. Modern, bold, and effortlessly feminine.",قرط-الألماس-المميز,Infinite,[الأقراط],[Diamond Earrings],[],[],[https://media.zid.store.s3.eu-west-1.amazonaws.com/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/8ade5594-6905-4895-9469-fbb66b2e0d17.jpg],,3,kg,Yes,,,,,,,,,,,,,1840,,670,"https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/3fe0ea7f-6b50-475b-b6f8-6acaf6b7e794.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/bd7ae23c-44dc-4a4d-bb4c-fe9303f65711.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/1d6a0bb3-ccdf-4e57-bcf4-2b10f69ef9f7.png","None, None, None","None, None, None",TRUE,FALSE,نوع المعدن,Metal Type,ذهب,Gold,2260,فضة,Silver,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z.17850223694836082,,No,خاتم الألماس بشكل القلب المرصّع بالنجوم,Heart Diamond Star Ring,<p>قلب من الألماس بحجم لافت، يستقر في عرش من الذهب المنحوت بنقوش نجوم صغيرة تلمع كسماء ليلية. خاتم يحمل دفء الحكاية ورقي التفصيل، هدية تُقال بها كل الكلمات دون نطقها.</p>,"<p>A striking heart-cut diamond rests within a gold setting hand-etched with tiny stars, like a night sky captured in gold. A ring that speaks warmth and story, a gift that says everything without a single word.</p>",<ul><li>وزن الألماسة المركزية: 1 قيراط</li><li>شكل القطع: قلب / Heart</li><li>نوع المعدن: ذهب عيار 18 او فضه 925</li><li>النقاء والصفاوة: D VS</li><li>المقاس: 6</li></ul>,<ul><li>Center Stone Weight: 1 ct</li><li>Cut Shape: قلب / Heart</li><li>Metal Type: Gold 18K or Silver 925</li><li>Color and Purity: D VS</li><li>Ring Size: 6</li></ul>,خاتم الألماس بشكل القلب المرصّع بالنجوم - لوموند,Heart Diamond Star Ring - LOMOND ,قلب ألماس لافت يستقر في عرش ذهبي منقوش بنجوم صغيرة، خاتم يحمل دفء الحكاية ورقي التفصيل.,A striking heart diamond set in gold engraved with tiny stars. A ring that carries warmth and story.,خاتم-الألماس-بشكل-القلب-المرصع-بالنجوم,Infinite,[الخواتم],[Diamond Ring],[],[],[https://media.zid.store.s3.eu-west-1.amazonaws.com/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/066a3574-eba6-46ec-9a54-197a08d34242.jpg],,,kg,Yes,,,,,,,,,,,,,2330,,852,"https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/93250484-3322-419a-a868-de2b7b11d4b8.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/13f172c9-2b28-4cc1-af7f-daaa24d59f04.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/8f49eb2e-2556-4c0c-8b22-b9ff27d77ff1.jpg","None, None, None","None, None, None",TRUE,FALSE,نوع المعدن,Metal Type,ذهب,Gold,4470,فضة,Silver,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z.1785021300607403,,No,خاتم الألماس الماركيز سوليتير,Marquise Diamond Solitaire Ring,<p>ألماسة ماركيز واحدة، بحدّتها الطويلة الممشوقة، محتضنة بمخالب ذهبية دقيقة فوق حلقة كلاسيكية. البساطة هنا هي الفخامة بعينها؛ قطعة خالدة تليق بلحظات لا تُنسى.</p>,"<p>A single marquise diamond, elongated and elegant, cradled by fine gold prongs on a timeless band. Simplicity as its own form of luxury. a piece made for moments meant to last forever.</p>",<ul><li>وزن الألماسة المركزية: 1 قيراط</li><li>النقاء: VS</li><li>اللون: D</li><li>نوع المعدن: ذهب عيار 18 او فضة 925</li><li>المقاس: 6</li></ul>,<ul><li>Center Stone Weight: 1 ct</li><li>Clarity: VS</li><li>Color Grade: D</li><li>Metal Type: Gold 18k or Silver 925</li><li>Ring Size: 6</li></ul>,خاتم الألماس الماركيز سوليتير - لوموند,Marquise Diamond Solitaire Ring - LOMOND,ألماسة ماركيز ممشوقة محتضنة بمخالب ذهبية دقيقة فوق حلقة كلاسيكية. بساطة خالدة تليق باللحظات المميزة.,A single elongated marquise diamond set on a classic band. Timeless simplicity for unforgettable moments.,خاتم-الألماس-الماركيز-سوليتير,Infinite,[الخواتم],[Diamond Ring],[],[],[https://media.zid.store.s3.eu-west-1.amazonaws.com/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/066a3574-eba6-46ec-9a54-197a08d34242.jpg],,2,g,Yes,,,,,,,,,,,,,2290,,900,"https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/2d72c7b6-f03c-4377-aa14-7cd415b61d70.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/8ba2efc5-9f24-45cb-a5a7-cc6ca48615bc.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/2864a1d1-c72a-4acd-98b2-883563decd30.jpg","None, None, None","None, None, None",TRUE,FALSE,نوع المعدن,Metal Type,ذهب,Gold,4510,فضة,Silver,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z.17850201465892065,,No,خاتم الألماس البير العنقودي ,Pear Diamond Cluster Ring,<p>خاتم بألماسة كمثرية مركزية محاطة بألماس ماركيز يتشابك كأوراق شجرة، فوق حلقة رفيعة ناعمة وأنثوية راقية.</p>,"<p>A pear-cut center diamond framed by marquise diamonds like delicate leaves, on a slender feminine band.</p>","<ul><li>وزن الألماس الوسطى : 1 قيراط</li><li>شكل الألماسة المركزية: كمثري</li><li>شكل الأحجار الجانبية: ماركيز</li><li>عدد الأحجار: 7</li><li>النقاء:  VVS,VS</li><li>نوع المعدن: ذهب عيار 18 او فضة 925</li><li>المقاس: 7 US</li></ul>","<ul><li>Main Diamond Weight: 1 ct</li><li>Center Stone Shape: Pear</li><li>Side Stones Shape: Marquise</li><li>Stone Count: 7</li><li>Clarity: VVS,VS</li><li>Metal Type: Gold 18K or Silver 925</li><li>Ring Size: 7 US</li></ul>",خاتم الألماس البير العنقودي لوموند,Pear Diamond Cluster Ring - LOMOND ,خاتم بألماسة كمثرية مركزية محاطة بألماس ماركيز يتشابك كأوراق شجرة، فوق حلقة رفيعة ناعمة وأنثوية راقية.,"A pear-cut center diamond framed by marquise diamonds like delicate leaves, on a slender feminine band.",خاتم-الألماس-البير-العنقودي,Infinite,[الخواتم],[Diamond Ring],[],[],[https://media.zid.store.s3.eu-west-1.amazonaws.com/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/066a3574-eba6-46ec-9a54-197a08d34242.jpg],,3,g,Yes,,,,,,,,,,,,,2280,,1200,"https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/86536e33-3a55-47a9-9788-772d20a9a102.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/06832d63-272d-4ba0-90d2-c47c2e0515d6.jpg, https://media.zid.store/e2e8d8c2-3c18-47d1-a1a8-f91aff5dc836/0d4cb102-1b50-42b1-ad84-940da1a13e76.jpg","None, None, None","None, None, None",TRUE,FALSE,نوع المعدن,Metal Type,ذهب,Gold,4920,فضة,Silver,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
